anno,notizia,paese,img
1960,"Lancio dei satelliti Transit e Echo, alcuni rimangono in orbita come rifiuti",USA,1.jpg
1964,Frammentazione del razzo Agena D,USA,2.jpg
1968,"Lancio di Zond, che lascia grandi frammenti in orbita",URSS,3.jpg
1979,"Rientro incontrollato della stazione spaziale Skylab, con detriti che cadono in Australia.",USA,4.jpg
1980,Esplosione del razzo Kosmos 954,URSS,5.jpg
1985,"Test ASAT, che distrugge un satellite obsoleto ",USA,6.jpg
1986,"Esplosione del satellite Kosmos 1738 , generando migliaia di detriti",URSS,7.jpg
1987,Test ASAT che contribusice a detriti nellâ€™orbita bassa terrestre,URSS,8.jpg
1991," Esplosione del satellite Kosmos 1402, causando detriti radioattivi",URSS,9.jpg
1996,Collisione del satellite Cerise con un frammento di razzo sovietico,Francia,10.jpg
1997,Esplosione del razzo Delta II,USA,11.jpg
2007,"Test ASAT, distruzione del satellite Fengyun-1C",Cina,12.jpg
2009,Collisione tra il satellite attivo Iridium 33  e il defunto Kosmos 2251,URSS e USA,13.jpg
2017,Collisione del satellite russo BLITS con frammenti del test ASAT cinese del 2007,Russia,14.jpg
2018,Lancio della costellazione Starlink da parte di SpaceX,USA,15.jpg
2019,"Test ASAT, che distrugge un satellite in orbita bassa",India,16.jpg